germplasmOrigin,commonCropName,accessionNumber,seedSource,seedSourceDescription,donors,documentationURL,acquisitionDate,countryOfOriginCode,storageTypes,synonyms,genus,species,defaultDisplayName,instituteName,germplasmPUI,instituteCode,germplasmDbId,germplasmName,biologicalStatusOfAccessionCode,taxonIds,breedingMethodDbId,externalReferences,pedigree
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/103412/view,2018-01-22,,[],[],Ipomoea,Ipomoea batatas,01OP,,https://sweetpotatobase.org/stock/103412/view,,103412,01OP,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/103413/view,2018-01-22,,[],[],Ipomoea,Ipomoea batatas,07MJ,,https://sweetpotatobase.org/stock/103413/view,,103413,07MJ,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorAccessionNumber': None, 'donorInstituteCode': None}]",https://sweetpotatobase.org/stock/125106/view,2018-02-26,,[],[],Ipomoea,Ipomoea batatas,03DM,,https://sweetpotatobase.org/stock/125106/view,,125106,03DM,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorAccessionNumber': None, 'donorInstituteCode': None}]",https://sweetpotatobase.org/stock/1496245/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,02-037,,https://sweetpotatobase.org/stock/1496245/view,,1496245,02-037,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496246/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,02-151,,https://sweetpotatobase.org/stock/1496246/view,,1496246,02-151,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496247/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,02-300,,https://sweetpotatobase.org/stock/1496247/view,,1496247,02-300,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496248/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,02-367,,https://sweetpotatobase.org/stock/1496248/view,,1496248,02-367,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496249/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,07-117,,https://sweetpotatobase.org/stock/1496249/view,,1496249,07-117,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496250/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,07-119,,https://sweetpotatobase.org/stock/1496250/view,,1496250,07-119,0,[],unknown,[],NA/NA
[],"batate,sweet potato",,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",https://sweetpotatobase.org/stock/1496251/view,2024-01-24,,[],[],Ipomoea,Ipomoea batatas,07-135,,https://sweetpotatobase.org/stock/1496251/view,,1496251,07-135,0,[],unknown,[],NA/NA
