externalReferences,taxonIds,documentationURL,commonCropName,acquisitionDate,germplasmOrigin,instituteName,pedigree,germplasmDbId,seedSourceDescription,instituteCode,donors,countryOfOriginCode,germplasmName,biologicalStatusOfAccessionCode,genus,storageTypes,accessionNumber,species,breedingMethodDbId,seedSource,defaultDisplayName,synonyms,germplasmPUI,additionalInfo.additionalProps.ploidy_level,additionalInfo.additionalProps.organization
[],[],https://yambase.org/stock/197086/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197086,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",,1,0,Dioscorea,[],,Dioscorea rotundata,unknown,,1,[],https://yambase.org/stock/197086/view,,
[],[],https://yambase.org/stock/197087/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197087,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",,118,0,Dioscorea,[],,Dioscorea rotundata,unknown,,118,[],https://yambase.org/stock/197087/view,,
[],[],https://yambase.org/stock/197088/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197088,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",,157,0,Dioscorea,[],,Dioscorea rotundata,unknown,,157,[],https://yambase.org/stock/197088/view,,
[],[],https://yambase.org/stock/197089/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197089,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",,196,0,Dioscorea,[],,Dioscorea rotundata,unknown,,196,[],https://yambase.org/stock/197089/view,,
[],[],https://yambase.org/stock/197090/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197090,,,"[{'donorAccessionNumber': None, 'donorInstituteCode': None}]",,2,0,Dioscorea,[],,Dioscorea rotundata,unknown,,2,[],https://yambase.org/stock/197090/view,,
[],[],https://yambase.org/stock/197091/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197091,,,"[{'donorInstituteCode': None, 'donorAccessionNumber': None}]",,235,0,Dioscorea,[],,Dioscorea rotundata,unknown,,235,[],https://yambase.org/stock/197091/view,,
[],[],https://yambase.org/stock/197092/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197092,,,"[{'donorAccessionNumber': None, 'donorInstituteCode': None}]",,274,0,Dioscorea,[],,Dioscorea rotundata,unknown,,274,[],https://yambase.org/stock/197092/view,,
[],[],https://yambase.org/stock/197093/view,"Guinea yam,eboe yam,white guinea yam,white yam",2020-03-30,[],,NA/NA,197093,,,"[{'donorAccessionNumber': None, 'donorInstituteCode': None}]",,40,0,Dioscorea,[],,Dioscorea rotundata,unknown,,40,[],https://yambase.org/stock/197093/view,,
[],[],https://yambase.org/stock/203451/view,"Guyana arrowroot,greater yam,name-de-agua,ten-months yam,water yam,white yam,winged yam,yam",2020-05-13,[],,NA/NA,203451,,,"[{'donorInstituteCode': 'CIRAD', 'donorAccessionNumber': None}]",Guadeloupe,14M,0,Dioscorea,[],Roujol53,Dioscorea alata,unknown,,14M,[],https://yambase.org/stock/203451/view,2,CIRAD-INRAE
[],[],https://yambase.org/stock/203453/view,"Guyana arrowroot,greater yam,name-de-agua,ten-months yam,water yam,white yam,winged yam,yam",2020-05-13,[],,NA/NA,203453,,,"[{'donorInstituteCode': 'CIRAD', 'donorAccessionNumber': None}]",Guadeloupe,74F,0,Dioscorea,[],Roujol49,Dioscorea alata,unknown,,74F,[],https://yambase.org/stock/203453/view,2,CIRAD-INRAE
